Year,시도,Value
2011,0.전국,11.0
2013,0.전국,11.3
2015,0.전국,9.4
2017,0.전국,8.4
2019,0.전국,12.6
2021,0.전국,8.2
2011,1.수도권,10.3
2013,1.수도권,11.6
2015,1.수도권,8.9
2017,1.수도권,8.1
2019,1.수도권,12.5
2021,1.수도권,7.6
2011,2.서울특별시,9.1
2013,2.서울특별시,11.3
2015,2.서울특별시,8.4
2017,2.서울특별시,9.9
2019,2.서울특별시,13.2
2021,2.서울특별시,6.4
2011,3.인천광역시,12.1
2013,3.인천광역시,12.1
2015,3.인천광역시,7.1
2017,3.인천광역시,5.0
2019,3.인천광역시,13.2
2021,3.인천광역시,8.6
2011,4.경기도,11.0
2013,4.경기도,11.7
2015,4.경기도,9.8
2017,4.경기도,7.7
2019,4.경기도,11.7
2021,4.경기도,8.3
